RoundNum_ByDate,Sample_ID,Site,Rep,Crucible_ID,In-oven ,Out-Oven ,"Empty Heated 
Crucible_Weight",In-oven,Out-oven,"SampleStart 
Crucible_Weight",In-Furnace ,Out-Furnace ,In-oven,Out-oven,"SampleEnd
Crucible_Weight",LOI_g,SOM_Percent,Mean_Blank_LOI-g,Adjusted_LOI,Adjusted_SOM_Percent,Comments
9_Dec6,S_DCN_H5,UP,2,31,12/6/23 8:00,12/6/23 10:00,9.5384,12/6/23 11:30,12/6/23 13:30,12.6428,12/6/23 14:15,12/7/23 7:45,12/7/23 8:00,12/7/23 10:00,12.43,0.2128,6.85,0.0002,0.213,6.861229223,
5_Nov23,S_DCN_H6,UP,1,18,11/23/23 8:30,11/23/23 10:30,10.3608,11/23/23 12:00,11/23/23 14:00,12.2695,11/23/23 15:00,11/24/23 8:00,11/24/23 8:10,11/24/23 12:00,12.1586,0.1109,5.81,0.00125,0.11215,5.875726935,
5_Nov23,S_DCN_H6,UP,2,35,11/23/23 8:30,11/23/23 10:30,10.7577,11/23/23 12:00,11/23/23 14:00,12.7909,11/23/23 15:00,11/24/23 8:00,11/24/23 8:10,11/24/23 12:00,12.6739,0.117,5.75,0.00125,0.11825,5.815955145,
9_Dec6,S_DCN_H7,UP,1,18,12/6/23 8:00,12/6/23 10:00,10.3614,12/6/23 11:30,12/6/23 13:30,11.808,12/6/23 14:15,12/7/23 7:45,12/7/23 8:00,12/7/23 10:00,11.7232,0.0848,5.86,0.0002,0.085,5.875846813,
9_Dec6,S_DCN_H7,UP,2,50,12/6/23 8:00,12/6/23 10:00,9.1262,12/6/23 11:30,12/6/23 13:30,11.1031,12/6/23 14:15,12/7/23 7:45,12/7/23 8:00,12/7/23 10:00,10.989,0.1141,5.77,0.0002,0.1143,5.781779554,
3_Nov17,S_DCN_H8,UP,1,108,11/17/23 8:26,11/17/23 10:26,10.7389,11/17/23 11:30,11/17/23 13:30,11.9046,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,11.8266,0.078,6.69,0.00005,0.07805,6.69554774,
3_Nov17,S_DCN_H8,UP,2,97,11/17/23 8:26,11/17/23 10:26,10.5048,11/17/23 11:30,11/17/23 13:30,11.4725,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,11.4149,0.0576,5.95,0.00005,0.05765,5.957424822,
10_Dec14,S_DCN_P1,UP,2,28,12/14/23 7:30,12/14/23 9:40,10.7311,12/14/23 10:50,12/14/23 13:00,14.279,12/14/23 13:45,12/15/23 7:30,12/15/23 7:40,12/15/23 9:40,14.0485,0.2305,6.5,-0.0003,0.2302,6.488345218,
10_Dec14,S_DCN_P1,UP,1,114,12/14/23 7:30,12/14/23 9:40,10.2907,12/14/23 10:50,12/14/23 13:00,13.0502,12/14/23 13:45,12/15/23 7:30,12/15/23 7:40,12/15/23 9:40,12.8767,0.1735,6.29,-0.0003,0.1732,6.276499366,
7_Nov30,S_DCN_P2,UP,1,106,30-Nov 830AM,11/30/23 10:30,10.6109,11/30/23 12:00,11/30/23 14:00,11.8687,11/30/23 15:30,12/1/23 8:00,12/1/23 8:30,12/1/23 11:00,11.7928,0.0759,6.03,-0.00005,0.07585,6.030370488,
