Cage_ID,Rep,Tray_weight,Wet-Soil+Tray_weight,In-oven,Out-oven,Dry-Soil+Tray_weight,WHC Dry weight (g),% soil moist at 100% WHC,Moist at 100% WHC,Moist at 65% WHC
S_SCH_V2,1,1.1294,2.7465,10/18/24 15:30,10/20/24 15:15,2.1907,1.0613,34.37016882,0.523697352,0.340403279
S_SCH_V2,2,1.14,3.3173,10/18/24 15:30,10/20/24 15:15,2.3686,1.2286,43.57231433,0.772179717,0.501916816
S_SCH_V3,1,1.1503,4.1376,10/18/24 15:30,10/20/24 15:15,3.2834,2.1331,28.59438289,0.400450049,0.260292532
S_SCH_V3,2,1.1545,3.8251,10/18/24 15:30,10/20/24 15:15,2.7093,1.5548,41.78087321,0.717648572,0.466471572
S_SCH_V4,1,1.1373,3.9279,10/19/24 13:45,10/30/24 14:00,3.1269,1.9896,28.70350462,0.402593486,0.261685766
S_SCH_V4,2,1.1378,3.8093,10/19/24 13:45,10/30/24 14:00,2.9912,1.8534,30.62324537,0.441404985,0.286913241
S_SCH_V5,1,1.1504,3.4646,10/19/24 13:45,10/30/24 14:00,2.8424,1.692,26.88618097,0.367730497,0.239024823
S_SCH_V5,2,1.1504,4.5964,10/19/24 13:45,10/30/24 14:00,3.1016,1.9512,43.37782937,0.766092661,0.49796023
S_SCH_V6,1,1.1466,4.4277,10/19/24 13:45,10/30/24 14:00,3.0164,1.8698,43.01301393,0.754786608,0.490611295
S_SCH_V6,2,1.1459,3.6531,10/19/24 13:45,10/30/24 14:00,2.6558,1.5099,39.77744097,0.660507318,0.429329757
S_SCH_V7,1,1.1401,4.7381,11/2/24 12:45,11/4/24 12:55,3.0265,1.8864,47.57087271,0.907336726,0.589768872
S_SCH_V7,2,1.1624,4.2294,11/2/24 12:45,11/4/24 12:55,2.8739,1.7115,44.19628301,0.791995326,0.514796962
S_SCH_V8,1,1.1615,3.4841,10/19/24 13:45,10/30/24 14:00,2.7701,1.6086,30.74141049,0.44386423,0.288511749
S_SCH_V8,2,1.1483,3.9706,10/19/24 13:45,10/30/24 14:00,3.2121,2.0638,26.8752436,0.367525923,0.23889185
S_SCN_H1,1,1.1488,4.8201,10/18/24 15:30,10/20/24 15:15,3.6211,2.4723,32.65873124,0.484973507,0.315232779
S_SCN_H1,2,1.1802,4.0317,10/18/24 15:30,10/20/24 15:15,3.0897,1.9095,33.03524461,0.493322859,0.320659859
S_SCN_H2,1,1.1587,4.4915,10/19/24 13:45,10/30/24 14:00,3.7033,2.5446,23.64978397,0.309753989,0.201340093
S_SCN_H2,2,1.1574,4.939,10/19/24 13:45,10/30/24 14:00,3.6161,2.4587,34.98254707,0.538048562,0.349731566
S_SCN_H3,1,1.1383,3.8932,10/19/24 13:45,10/30/24 14:00,2.8795,1.7412,36.79625395,0.5821847,0.378420055
S_SCN_H3,2,1.129,4.3759,10/19/24 13:45,10/30/24 14:00,3.0527,1.9237,40.75271798,0.68784114,0.447096741
S_SCN_H4,1,1.1187,4.2313,10/19/24 13:45,10/30/24 14:00,3.0687,1.95,37.3514104,0.596205128,0.387533333
S_SCN_H4,2,1.1645,3.562,10/19/24 13:45,10/30/24 14:00,2.9536,1.7891,25.37643379,0.340059248,0.221038511
S_SCN_H5,1,1.1679,4.6826,10/18/24 15:30,10/20/24 15:15,3.8609,2.693,23.37895126,0.305124397,0.198330858
S_SCN_H5,2,1.147,4.1222,10/18/24 15:30,10/20/24 15:15,3.3333,2.1863,26.51586448,0.360837945,0.234544665
S_SCN_H6,1,1.1453,3.916,10/18/24 15:30,10/20/24 15:15,3.1447,1.9994,27.83773054,0.38576573,0.250747724
S_SCN_H6,2,1.1443,3.3527,10/18/24 15:30,10/20/24 15:15,2.7841,1.6398,25.74714726,0.346749604,0.225387242
S_SCN_H7,1,1.1454,4.5368,10/19/24 13:45,10/30/24 14:00,3.3433,2.1979,35.19195612,0.543018336,0.352961918
S_SCN_H7,2,1.149,5.0723,10/19/24 13:45,10/30/24 14:00,3.6339,2.4849,36.66301328,0.578856292,0.37625659
S_SCN_H8,1,1.1532,5.7244,10/18/24 15:30,10/20/24 15:15,4.1769,3.0237,33.85325516,0.511790191,0.332663624
S_SCN_H8,2,1.1691,5.7415,10/18/24 15:30,10/20/24 15:15,4.1305,2.9614,35.23313796,0.54399946,0.353599649
S_SCS_H1,1,1.1727,4.6774,10/28/24 14:45,10/30/24 18:15,3.4897,2.317,33.88877793,0.512602503,0.333191627
S_SCS_H1,2,1.1951,4.1504,10/28/24 14:45,10/30/24 18:15,3.1623,1.9672,33.43484587,0.502287515,0.326486885
S_SCS_H2,1,1.1471,4.5456,10/28/24 14:45,10/30/24 18:15,3.3195,2.1724,36.07768133,0.564398822,0.366859234
S_SCS_H2,2,1.1527,5.2561,10/28/24 14:45,10/30/24 18:15,3.7939,2.6412,35.6338646,0.553611995,0.359847797
S_SCS_H3,1,1.1754,4.5711,10/28/24 14:45,10/30/24 18:15,3.3671,2.1917,35.45660689,0.549345257,0.357074417
S_SCS_H3,2,1.1894,5.447,10/28/24 14:45,10/30/24 18:15,3.919,2.7296,35.88876362,0.55978898,0.363862837
S_SCS_H4,1,1.1436,5.2626,10/28/24 14:45,10/30/24 18:15,3.8451,2.7015,34.41369264,0.524708495,0.341060522
S_SCS_H4,2,1.1607,4.427,10/28/24 14:45,10/30/24 18:15,3.1515,1.9908,39.05030156,0.640697207,0.416453185
S_SCS_H5,1,1.1449,5.2218,10/28/24 14:45,10/30/24 18:15,4.0421,2.8972,28.93620153,0.407186249,0.264671062
S_SCS_H5,2,1.1583,4.0594,10/28/24 14:45,10/30/24 18:15,3.2741,2.1158,27.06904278,0.371159845,0.241253899
S_SCS_H6,1,1.1566,4.6717,10/28/24 14:45,10/30/24 18:15,3.5605,2.4039,31.61218742,0.462248846,0.30046175
S_SCS_H6,2,1.1693,4.7051,10/28/24 14:45,10/30/24 18:15,3.6168,2.4475,30.77945585,0.444657814,0.289027579
S_SCS_H7,1,1.1625,3.6556,10/28/24 14:45,10/30/24 18:15,3.014,1.8515,25.73502868,0.346529841,0.225244396
S_SCS_H7,2,1.1549,3.1063,10/28/24 14:45,10/30/24 18:15,2.6503,1.4954,23.36783847,0.304935134,0.198207837
S_SCS_H8,1,1.1632,4.7137,10/28/24 14:45,10/30/24 18:15,3.2378,2.0746,41.56879313,0.047238022,0.030704714
S_SCS_H8,2,1.1609,3.7474,10/28/24 14:45,10/30/24 18:15,2.7149,1.554,39.9188092,1.214800515,0.789620335
S_UPH_H1,1,1.1448,4.4259,10/19/24 16:10,11/4/24 9:10,3.3716,2.2268,32.13251653,0.473459673,0.307748788
S_UPH_H1,2,1.1388,4.9521,10/19/24 16:10,11/4/24 9:20,3.6862,2.5474,33.1969685,-0.009931695,-0.006455602
S_UPH_H2,1,1.1662,4.7486,10/18/24 20:00,11/4/24 8:30,3.4453,2.2791,36.38063868,0.111710763,0.072611996
S_UPH_H2,2,1.1472,3.6609,10/18/24 20:00,11/4/24 8:30,2.8208,1.6736,33.42085372,0.654696463,0.425552701
