Sample ID,Day,N-NH4 (mg per mL),blank-corrected N-NH4 (mg per mL),N-NO3 (mg per mL),blank-corrected N-NO3 (mg per mL)
UPS_H1,30,1.02705525,0.908223396,1.8621008,1.9055985
UPS_H2,30,0.4891035,0.370271646,5.9128384,5.9563361
UPS_H3,30,0.62905185,0.510219996,7.6126456,7.6561433
UPS_H4,30,0.46887975,0.350047896,5.2820628,5.3255605
UPS_H5,30,0.5554374,0.436605546,3.3286932,3.3721909
UPS_H6,30,0.5020467,0.383214846,2.016273,2.0597707
UPS_H7,30,0.5877954,0.468963546,6.0724888,6.1159865
UPS_H8,30,0.54573,0.426898146,2.6454834,2.6889811
YFH_H1,30,0.5230794,0.404247546,0.4596816,0.5031793
YFH_H2,30,0.5004288,0.381596946,1.9700996,2.0135973
YFH_H3,30,0.481014,0.362182146,1.8026232,1.8461209
YFH_H4,30,0.4777782,0.358946346,-0.0083132,0.0351845
YFH_H5,30,0.4502739,0.331442046,3.518865,3.5623627
YFH_H6,30,0.4583634,0.339531546,3.2793894,3.3228871
YFH_H7,30,0.7867971,0.667965246,3.5000826,3.5435803
YFH_H8,30,0.5230794,0.404247546,4.861024,4.9045217
YFH_V1,30,0.46402605,0.345194196,5.3133668,5.3568645
YFH_V2,30,0.49314825,0.374316396,4.1245974,4.1680951
YFH_V3,30,0.67273515,0.553903296,4.5683316,4.6118293
YFH_V4,30,0.392331433,0.273499579,0.251195267,0.294692967
YFH_V5,30,0.2948075,0.175975646,5.861903133,5.905400833
YFH_V6,30,0.409634067,0.290802213,6.912949067,6.956446767
YFH_V7,30,0.420644833,0.301812979,1.4707471,1.5142448
YFH_V8,30,1.4415002,1.322668346,5.515658133,5.559155833
YFN_H1,30,0.599963033,0.481131179,-0.033495067,0.010002633
YFN_H3,30,0.546482167,0.427650313,0.9744626,1.0179603
YFN_H4,30,0.6345683,0.515736446,0.795954067,0.839451767
YFN_H5,30,0.9837669,0.864935046,0.6790002,0.7224979
YFN_H6,30,0.7572597,0.638427846,0.205029267,0.248526967
YFN_H7,30,1.812720333,1.693888479,0.0880754,0.1315731
YFN_H8,30,0.593671167,0.474839313,-0.001178867,0.042318833
Blank,30,0.035268,NA,-0.038111667,NA
Blank,30,0.0305491,NA,-0.045806,NA
Blank,30,0.0258302,NA,-0.058116933,NA
Blank,30,0.066727333,NA,-0.0204147,NA
Blank,30,0.024257233,NA,-0.051961467,NA
Blank,30,0.038413933,NA,-0.047344867,NA
Blank,30,0.274358933,NA,-0.0388811,NA
Blank,30,0.4552501,NA,-0.047344867,NA
