Sample_ID,Site,Population,Treatment_PopType,Year,CO2CperHourperg,Overall_mineralization_rate,SORU_Biomass,POPRC_Biomass,MISC_Biomass,PercentN_SOIL,PercentN_LITTER,PercentN_POPRC,PercentN_MISC,PercentN_SORU,PercentC_SOIL,PercentC_LITTER,PercentC_POPRC,PercentC_MISC,PercentC_SORU,PlantDiversity,average_SOM
SCN_H1,UP,SC,Resistor,2021,2.789834590228155,-1.3868528543494447,31.072451366297972,30.42757784093472,47.57159284580167,0.2,0.9,2.8,2.3,1.8,2.6,44.4,43.7,44.5,46.3,1.7119448473820522,7.3507762875000004
SCN_H1,UP,SC,Resistor,2023,3.0546310433554744,18.46211442983457,10.039178690344073,80.29489379130185,39.42063335779883,0.2,1,1.4,2.1,2.5,3.6,41.9,44,46.9,46.8,0.9761150643172979,NA
SCN_H2,UP,SC,Resistor,2021,1.523449336290279,-2.133967261225679,31.072451366297972,54.97879747672967,19.18342503584035,0.1,1.2,1.8,2.1,2.3,2.4,43.3,43.7,42.7,46.7,1.283629059850286,6.165402594
SCN_H2,UP,SC,Resistor,2023,2.576500548190753,3.9933016121324756,60.82408435072142,56.194817414020214,20.82128855552175,0.2,0.8,1.6,1.3,2.2,3,41.1,42.1,44.3,45.4,1.4640786980553373,NA
SCN_H3,UP,SC,Resistor,2021,1.802217495356203,-14.520255528116806,16.217874918672727,59.21176637945293,26.28046698833068,0.2,0.5,2.2,1.7,1.8,2.8,44.2,45.8,46.1,43.1,1.1326081665677366,6.6321979424999995
SCN_H3,UP,SC,Resistor,2023,2.438344255053947,-0.9489655613597077,72.77347391786903,59.08682657929401,-1.9112439805946781,0.2,0.8,1.1,1.9,2.5,2.7,40.4,41.3,41.9,47.2,0.9249648428662819,NA
SCN_H4,UP,SC,Resistor,2021,1.8466327845132557,-10.711923154197288,7.0765971047495,56.67198503781897,37.432961485101195,0.2,0.4,2.1,1.9,2.2,2.9,47,43.9,42.7,45.4,1.2783223953382252,6.4743412485
SCN_H4,UP,SC,Resistor,2023,2.5074932168500617,0.15094257416620765,30.950610432852393,70.65486324038919,29.08766402320045,0.1,1,1.5,2,2.5,2.5,38.6,39.9,42.8,44.4,1.230037981840667,NA
SCN_H5,UP,SC,Resistor,2021,1.5659587225604295,-1.4647240402084885,12.789895738451518,73.60386064871204,12.086383083350022,0.1,0.6,1.5,2,2.5,2.3,45.1,44.1,43.9,45.8,0.8385889024022443,5.925845971
SCN_H5,UP,SC,Resistor,2023,1.9264121769619913,5.254107832839521,80.24184239733628,46.55478686310756,16.6881008216824,0.2,0.9,2.4,1.4,2.2,2.9,41.6,42.9,44.8,44.1,1.0727667340457467,NA
SCN_H6,UP,SC,Resistor,2021,1.4971627938526493,-0.7795532131179386,8.219256831489904,66.83111040435482,24.252740716190583,0.2,0.6,1.5,2.1,2.2,2.4,46.8,44.5,42.4,47,1.0625825120263297,6.073845497000001
SCN_H6,UP,SC,Resistor,2023,2.651579357606919,-7.30052591415779,44.393673695893455,75.47487851584552,2.2219437532446724,0.2,1,1.4,1.7,2.2,2.8,43.2,40.9,45.1,45.9,0.8886930982240949,NA
SCN_H7,UP,SC,Resistor,2021,1.94035046652895,-2.3029341963805883,2.5059581977878858,46.51285967128313,54.668634798292,0.2,0.6,1.4,1.9,2,2.6,45,42.6,44.2,46.7,1.5804507986744767,5.81669299
SCN_H7,UP,SC,Resistor,2023,3.137162339322253,3.8545079449370325,20.494894561598233,63.90684185475034,60.08657202699558,0.1,1.1,1.8,1.5,2.7,2.4,43.3,38.6,43,46.7,1.3288654128386055,NA
SCN_H8,UP,SC,Resistor,2021,2.1069605874648367,-4.276911010392049,25.359152732595955,45.66626589073848,35.4052352129611,0.2,1.6,2.2,2,3,3.1,42.2,44.9,44,48,1.5301013686783456,7.2349954665
SCN_H8,UP,SC,Resistor,2023,3.2274168322802925,-0.6119929997869791,53.35571587125416,33.05874409182985,82.819104563112,0.2,1.1,2.1,1.2,2.8,3.4,44.1,40.9,46.1,46.6,1.619360534810952,NA
SCS_H1,YF,SC,Resistor,2021,1.6086907201776195,17.459118802130206,3.8516892810796692,16.635946357599046,95.30591337328819,0.2,1.2,2.3,2.3,2.4,3.1,45.7,39.6,45.9,45.4,1.7769405345669274,6.368141291
SCS_H1,YF,SC,Resistor,2023,3.4706991006969963,6.933132694907569,3.0406015037594063,26.076535162442042,112.73124203009436,0.2,1.1,1.9,1.5,2.3,2.9,44.9,43.9,40.2,47.4,1.4248824072308506,NA
SCS_H2,YF,SC,Resistor,2021,1.3618069138437487,15.655292170772764,9.522784207111334,61.020343020414614,47.73671089364359,0.1,1.3,2.1,1.9,2.8,1.9,42.3,61.2,40.7,46.7,1.6831578516344528,5.2432607155
SCS_H2,YF,SC,Resistor,2023,2.839494041541938,10.09326164676681,10.442105263157902,73.15974874446304,6.259787954967753,0.2,0.7,2,1.4,2.2,2.9,45.3,44,44,45.6,0.7462297422375356,NA
SCS_H3,YF,SC,Resistor,2021,1.4118984763113245,8.53216982375603,19.730755073968332,65.57258883198544,29.89825996377687,0.1,1.1,2.7,2.1,2.5,1.7,45.2,43.3,41.2,46.6,1.464693430955168,5.621769363
SCS_H3,YF,SC,Resistor,2023,2.934908215246572,10.599403457492633,-4.360902255639089,17.44461267240486,138.93959995627938,0.2,0.9,1.5,2.3,2.2,2.6,45.7,43.6,44.9,47.6,1.3510394158370158,NA
SCS_H4,YF,SC,Resistor,2021,1.9328284284531172,17.351319432289813,6.1201272514923355,41.6732983212386,70.33208207147477,0.2,0.8,2.2,2.2,2.7,3,47,39.6,46.3,48.3,1.4391054668215773,6.386552079
SCS_H4,YF,SC,Resistor,2023,2.9601020888116447,3.703011628136232,-4.360902255639089,44.909820595250444,78.33277225197654,0.2,0.9,1.8,1.6,0,3.2,45.6,43.8,44.1,0,0.929594704680054,NA
SCS_H5,YF,SC,Resistor,2021,1.372875627951331,9.85474424957072,17.462317103555666,76.95320336091251,20.384419467847948,0.2,0.8,2.1,2.7,2.3,3.2,33.1,43.6,50.9,47.9,1.1770453027162644,4.6461190595
SCS_H5,YF,SC,Resistor,2023,3.192607002587705,16.593118473388582,1.1902255639097825,76.29862964993112,9.53583269574088,0.2,2.8,2.2,1.5,1.9,2.6,45.6,43.9,35.1,47.1,0.5634353677755297,NA
SCS_H6,YF,SC,Resistor,2021,1.2316716696176144,20.651455287254365,60.562638541396325,38.25911396256048,15.62749921988349,0,1.3,2.6,3,2.8,0.8,46.8,44.9,44.8,47.7,1.2268888571422507,5.682798881
SCS_H6,YF,SC,Resistor,2023,3.1313426521785774,16.065530487892456,27.095488721804514,62.95838580169183,14.44989980690057,0.2,1.2,1.9,2,2.2,3.3,45.4,42.7,43,47.7,0.9198933860967848,NA
SCS_H7,YF,SC,Resistor,2021,1.0936216024904544,7.6539245486419105,97.99186505320532,0.7030860171011503,14.438269157892375,0.2,2,2.6,1.9,2.5,2.3,46,39.6,45.9,47.6,0.847920669729981,4.430710593000001
SCS_H7,YF,SC,Resistor,2023,3.7379409822877903,5.076011792855383,-0.6601503759398413,81.00695100813321,1.3457208438080632,0.2,1.1,1.9,2.9,2.2,3.3,48.3,44.7,44.2,45.8,0.4186020595641258,NA
